,Word,Definitions
1282,litigation,a legal proceeding in a court; a judicial contest to determine and enforce legal rights
1283,struggle,an energetic attempt to achieve something
1284,margin,the boundary line or the area immediately inside the boundary
1285,place,a point located with respect to surface features of some region
1286,color-blind,NO DEFINITION FOUND
1287,allow,NO DEFINITION FOUND
1288,colorful,NO DEFINITION FOUND
1289,feed,food for domestic livestock
1290,observation,the act of making and recording a measurement
1291,memorandum,a written proposal or reminder
1292,court,an assembly (including one or more judges) to conduct judicial business
1293,stunning,NO DEFINITION FOUND
1294,cash,money in the form of bills or coins
1295,number,the property possessed by a sum or total or indefinite quantity of units or individuals
1296,jury,a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
1297,excess,a quantity much larger than is needed
1298,press,the state of demanding notice or attention
1299,forget,NO DEFINITION FOUND
1300,boy,a youthful male person
1301,depend,NO DEFINITION FOUND
1302,agency,an administrative unit of government
1303,produce,fresh fruits and vegetable grown for the market
1304,attract,NO DEFINITION FOUND
1305,brown,an orange of low brightness and saturation
1306,coal,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
1307,tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
1308,death,the event of dying or departure from life
1309,gallery,spectators at a golf or tennis match
1310,crime,(criminal law) an act punishable by law; usually considered an evil act
1311,aquarium,a tank or pool or bowl filled with water for keeping live fish and underwater animals
1312,smart,a kind of pain such as that caused by a wound or a burn or a sore
1313,detector,any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
1314,force,a powerful effect or influence
1315,slime,"any thick, viscous matter"
1316,interest,a sense of concern with and curiosity about someone or something
1317,latest,the most recent news or development
1318,robot,a mechanism that can move automatically
1319,shelf,a support that consists of a horizontal surface for holding objects
1320,vacuum,the absence of matter
1321,skeleton,something reduced to its minimal form
1322,site,the piece of land on which something is located (or is to be located)
1323,freight,goods carried by a large vehicle
1324,dry,a reformer who opposes the use of intoxicating beverages
1325,qualification,an attribute that must be met or complied with and that fits a person for something
1326,bloodshed,the shedding of blood resulting in murder
1327,advertising,a public promotion of some product or service
1328,god,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
1329,budget,a sum of money allocated for a particular purpose
1330,feeling,the experiencing of affective and emotional states
1331,receipt,the act of receiving
1332,ignite,NO DEFINITION FOUND
1333,practice,a customary way of operation or behavior
1334,past,the time that has elapsed
1335,confession,an admission of misdeeds or faults
1336,helmet,armor plate that protects the head
1337,slab,block consisting of a thick piece of something
1338,store,a mercantile establishment for the retail sale of goods or services
1339,district,a region marked off for administrative or other purposes
1340,support,the activity of providing for or maintaining by supplying with money or necessities
1341,orientation,the act of orienting
1342,hiccup,(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion
1343,rally,a large gathering of people intended to arouse enthusiasm
1344,dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
1345,discriminate,NO DEFINITION FOUND
1346,smell,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
1347,coverage,the total amount and type of insurance carried
1348,chief,a person who is in charge
1349,depart,NO DEFINITION FOUND
1350,violation,a crime less serious than a felony
1351,fax,duplicator that transmits the copy by wire or radio
1352,apparatus,equipment designed to serve a specific function
1353,outside,the region that is outside of something
1354,underline,a line drawn underneath (especially under written matter)
1355,hierarchy,a series of ordered groupings of people or things within a system
1356,resolution,a formal expression by a meeting; agreed to by a vote
1357,large,a garment size for a large person
1358,spin,a swift whirling motion (usually of a missile)
1359,freeze,the withdrawal of heat to change something from a liquid to a solid
1360,convince,NO DEFINITION FOUND
1361,create,NO DEFINITION FOUND
1362,curtain,hanging cloth used as a blind (especially for a window)
1363,mainstream,the prevailing current of thought
1364,nut,usually large hard-shelled seed
1365,ex,a man who was formerly a certain woman's husband
1366,rape,Eurasian plant cultivated for its seed and as a forage crop
